,Rank,Player,Pos,"Team Currently With","Age At Signing","Start Year","End Year",Yrs,Value,"Average Salary","Average pct of Cap At Sign","Guarantee at Sign","Practical Guarantee",Year
266,67,Jonathan Mingo,WR,"DAL
DAL",22,2023,2026,4,"$8,856,595","$2,214,149",0.98%,"$7,711,597","$7,711,597",wr
267,68,Devin Duvernay,WR,"JAX
JAX",26,2024,2025,2,"$8,500,000","$4,250,000",1.66%,"$5,700,000","$5,700,000",wr
268,69,Wan'dale Robinson,WR,"NYG
NYG",20,2022,2025,4,"$8,185,166","$2,046,292",0.98%,"$5,086,465","$5,086,465",wr
269,70,John Metchie,WR,"HOU
HOU",21,2022,2025,4,"$8,070,172","$2,017,543",0.97%,"$4,921,042","$4,921,042",wr
270,71,Adonai Mitchell,WR,"IND
IND",21,2024,2027,4,"$7,386,086","$1,846,522",0.72%,"$4,817,431","$4,817,431",wr
271,72,Ashton Dulin,WR,"IND
IND",25,2023,2024,2,"$7,200,000","$3,600,000",1.60%,"$3,500,000","$3,500,000",wr
272,73,Jayden Reed,WR,"GB
GB",23,2023,2026,4,"$7,180,778","$1,795,195",0.80%,"$4,048,783","$4,048,783",wr
273,74,Marquise Brown,WR,"KC
KC",26,2024,2024,1,"$7,000,000","$7,000,000",2.74%,"$6,500,000","$6,500,000",wr
274,75,Rondale Moore,WR,"ATL
ATL",20,2021,2024,4,"$6,924,241","$1,731,060",0.95%,"$3,370,550","$3,370,550",wr
275,76,George Pickens,WR,"PIT
PIT",20,2022,2025,4,"$6,752,179","$1,688,045",0.81%,"$3,102,593","$3,102,593",wr
276,77,Alec Pierce,WR,"IND
IND",21,2022,2025,4,"$6,601,342","$1,650,336",0.79%,"$2,986,037","$2,986,037",wr
277,78,Rashee Rice,WR,"KC
KC",23,2023,2026,4,"$6,495,208","$1,623,802",0.72%,"$3,519,025","$3,519,025",wr
278,79,Skyy Moore,WR,"KC
KC",21,2022,2025,4,"$6,450,498","$1,612,625",0.77%,"$2,869,476","$2,869,476",wr
279,80,Malachi Corley,WR,"NYJ
NYJ",22,2024,2027,4,"$6,073,456","$1,518,364",0.59%,"$1,237,060","$1,237,060",wr
280,81,Marvin Mims,WR,"DEN
DEN",21,2023,2026,4,"$6,068,635","$1,517,159",0.67%,"$3,189,399","$3,189,399",wr
281,82,TuTu Atwell,WR,"LAR
LAR",21,2021,2024,4,"$5,908,699","$1,477,175",0.81%,"$2,585,813","$2,585,813",wr
282,83,Jermaine Burton,WR,"CIN
CIN",22,2024,2027,4,"$5,820,896","$1,455,224",0.57%,"$1,053,380","$1,053,380",wr
283,84,Cedrick Wilson,WR,"NO
NO",28,2024,2025,2,"$5,750,000","$2,875,000",1.13%,"$2,850,000","$2,850,000",wr
284,85,Roman Wilson,WR,"PIT
PIT",22,2024,2027,4,"$5,745,168","$1,436,292",0.56%,"$998,304","$998,304",wr
285,86,Tank Dell,WR,"HOU
HOU",23,2023,2026,4,"$5,689,104","$1,422,276",0.63%,"$1,137,528","$1,137,528",wr
286,87,Jalen McMillan,WR,"TB
TB",22,2024,2027,4,"$5,663,024","$1,415,756",0.55%,"$938,564","$938,564",wr
287,88,Jalin Hyatt,WR,"NYG
NYG",21,2023,2026,4,"$5,625,313","$1,406,328",0.63%,"$2,096,832","$2,096,832",wr
288,89,Cedric Tillman,WR,"CLE
CLE",23,2023,2026,4,"$5,614,512","$1,403,628",0.62%,"$1,080,336","$1,080,336",wr
289,90,Luke McCaffrey,WR,"WAS
WAS",23,2024,2027,4,"$5,596,312","$1,399,078",0.55%,"$890,044","$890,044",wr
290,91,Josh Downs,WR,"IND
IND",21,2023,2026,4,"$5,520,459","$1,380,115",0.61%,"$1,014,880","$1,014,880",wr
291,92,Michael Wilson,WR,"ARI
ARI",23,2023,2026,4,"$5,339,461","$1,334,865",0.59%,"$883,244","$883,244",wr
292,93,Tre Tucker,WR,"LV
LV",22,2023,2026,4,"$5,304,084","$1,326,021",0.59%,"$857,516","$857,516",wr
293,94,Rashid Shaheed,WR,"NO
NO",25,2024,2025,1,"$5,200,000","$5,200,000",2.04%,"$1,000,000","$1,000,000",wr
294,95,Jalen Tolbert,WR,"DAL
DAL",22,2022,2025,4,"$5,135,719","$1,283,930",0.62%,"$915,068","$915,068",wr
295,96,Josh Palmer,WR,"LAC
LAC",21,2021,2024,4,"$5,032,438","$1,258,110",0.69%,"$1,019,676","$1,019,676",wr
296,97,Ray-Ray McCloud,WR,"ATL
ATL",27,2024,2025,2,"$5,000,000","$2,500,000",0.98%,"$2,125,000","$2,125,000",wr
297,98,Dyami Brown,WR,"WAS
WAS",21,2021,2024,4,"$4,944,000","$1,236,000",0.68%,"$955,636","$955,636",wr
298,99,Troy Franklin,WR,"DEN
DEN",21,2024,2027,4,"$4,874,836","$1,218,709",0.48%,"$854,836","$854,836",wr
299,100,Javon Baker,WR,"NE
NE",22,2024,2027,4,"$4,836,596","$1,209,149",0.47%,"$816,956","$816,956",wr
300,1,George Kittle,TE,"SF
SF",26,2020,2025,5,"$75,000,000","$15,000,000",7.57%,"$30,000,000","$40,000,000",te
301,2,T.J. Hockenson,TE,"MIN
MIN",26,2023,2027,4,"$66,000,000","$16,500,000",7.34%,"$29,292,000","$40,192,000",te
302,3,Dallas Goedert,TE,"PHI
PHI",25,2021,2025,4,"$57,000,000","$14,250,000",7.81%,"$14,921,888","$35,171,888",te
303,4,Mark Andrews,TE,"BAL
BAL",24,2021,2025,4,"$56,000,000","$14,000,000",7.67%,"$30,083,055","$37,583,055",te
304,5,David Njoku,TE,"CLE
CLE",25,2022,2025,4,"$54,750,000","$13,687,500",6.57%,"$17,000,000","$28,000,000",te
305,6,Cole Kmet,TE,"CHI
CHI",24,2023,2027,4,"$50,000,000","$12,500,000",5.56%,"$22,893,000","$32,793,000",te
306,7,Pat Freiermuth,TE,"PIT
PIT",25,2024,2028,4,"$48,400,000","$12,100,000",4.74%,"$11,600,000","$11,600,000",te
307,8,Evan Engram,TE,"JAX
JAX",28,2023,2025,3,"$41,250,000","$13,750,000",6.12%,"$24,000,000","$24,000,000",te
308,9,Taysom Hill,TE,"NO
NO",30,2021,2025,4,"$40,000,000","$10,000,000",5.48%,"$10,100,000","$21,500,000",te
309,10,Dalton Schultz,TE,"HOU
HOU",27,2024,2026,3,"$36,000,000","$12,000,000",4.70%,"$23,500,000","$23,500,000",te
310,11,Travis Kelce,TE,"KC
KC",34,2024,2025,2,"$34,250,000","$17,125,000",6.71%,"$17,000,000","$17,000,000",te
311,12,Kyle Pitts,TE,"ATL
ATL",20,2021,2025,4,"$32,910,495","$8,227,624",4.51%,"$32,910,495","$32,910,495",te
312,13,Dawson Knox,TE,"BUF
BUF",27,2024,2026,3,"$29,500,000","$9,833,333",3.85%,"$12,750,000","$17,000,000",te
313,14,Hunter Henry,TE,"NE
NE",29,2024,2026,3,"$27,000,000","$9,000,000",3.52%,"$15,800,000","$15,800,000",te
314,15,Colby Parkinson,TE,"LAR
LAR",25,2024,2026,3,"$22,500,000","$7,500,000",2.94%,"$10,250,000","$15,500,000",te
315,T16,Josh Oliver,TE,"MIN
MIN",25,2023,2025,3,"$21,000,000","$7,000,000",3.11%,"$8,200,000","$10,700,000",te
316,T16,Noah Fant,TE,"SEA
SEA",26,2024,2025,2,"$21,000,000","$10,500,000",4.11%,"$11,490,000","$11,490,000",te
317,18,Tyler Conklin,TE,"NYJ
NYJ",26,2022,2024,3,"$20,250,000","$6,750,000",3.24%,"$10,000,000","$10,000,000",te
318,19,Brock Bowers,TE,"LV
LV",21,2024,2028,4,"$18,138,784","$4,534,696",1.78%,"$18,138,784","$18,138,784",te
319,20,Noah Gray,TE,"KC
KC",25,2024,2027,3,"$18,000,000","$6,000,000",2.35%,"$10,016,000","$10,016,000",te
320,21,Mo Alie-Cox,TE,"IND
IND",28,2022,2024,3,"$17,550,000","$5,850,000",2.81%,"$8,200,000","$8,200,000",te
321,22,Tyler Higbee,TE,"LAR
LAR",30,2023,2025,2,"$17,000,000","$8,500,000",3.78%,"$11,075,977","$16,075,977",te
322,23,Will Dissly,TE,"LAC
LAC",27,2024,2026,3,"$14,000,000","$4,666,667",1.83%,"$10,000,000","$10,000,000",te
323,24,Dalton Kincaid,TE,"BUF
BUF",23,2023,2027,4,"$13,427,023","$3,356,756",1.49%,"$13,427,023","$13,427,023",te
324,25,Foster Moreau,TE,"NO
NO",26,2023,2025,3,"$12,234,000","$4,078,000",1.81%,"$8,020,000","$8,020,000",te
325,T26,Juwan Johnson,TE,"NO
NO",26,2023,2024,2,"$12,000,000","$6,000,000",2.67%,"$11,510,000","$11,510,000",te
326,T26,Charlie Woerner,TE,"ATL
ATL",26,2024,2026,3,"$12,000,000","$4,000,000",1.57%,"$4,160,000","$6,570,000",te
327,T26,Gerald Everett,TE,"CHI
CHI",29,2024,2025,2,"$12,000,000","$6,000,000",2.35%,"$6,060,000","$6,060,000",te
328,T26,Brock Wright,TE,"DET
DET",25,2024,2026,3,"$12,000,000","$4,000,000",1.57%,"$4,600,000","$4,600,000",te
329,30,Drew Sample,TE,"CIN
CIN",27,2024,2026,3,"$10,500,000","$3,500,000",1.37%,"$2,350,000","$2,350,000",te
330,31,Sam LaPorta,TE,"DET
DET",22,2023,2026,4,"$9,465,990","$2,366,498",1.05%,"$7,517,173","$7,517,173",te
331,32,Michael Mayer,TE,"LV
LV",21,2023,2026,4,"$9,313,645","$2,328,411",1.04%,"$7,596,703","$7,596,703",te
332,33,Luke Musgrave,TE,"GB
GB",22,2023,2026,4,"$8,475,731","$2,118,933",0.94%,"$6,348,429","$6,348,429",te
333,34,Jonnu Smith,TE,"MIA
MIA",28,2024,2025,2,"$8,400,000","$4,200,000",1.64%,"$3,960,000","$3,960,000",te
334,35,Durham Smythe,TE,"MIA
MIA",27,2023,2025,2,"$7,750,000","$3,875,000",1.72%,"$5,500,000","$5,500,000",te
335,36,Adam Trautman,TE,"DEN
DEN",27,2024,2025,2,"$7,500,000","$3,750,000",1.47%,"$5,000,000","$5,000,000",te
336,37,Ben Sinnott,TE,"WAS
WAS",21,2024,2027,4,"$7,227,950","$1,806,988",0.71%,,,te
337,38,Trey McBride,TE,"ARI
ARI",22,2022,2025,4,"$6,299,662","$1,574,916",0.76%,"$2,752,920","$2,752,920",te
338,39,Luke Schoonmaker,TE,"DAL
DAL",24,2023,2026,4,"$6,266,688","$1,566,672",0.70%,"$3,342,441","$3,342,441",te
339,40,Brenton Strange,TE,"JAX
JAX",22,2023,2026,4,"$6,114,333","$1,528,583",0.68%,"$3,224,712","$3,224,712",te
340,41,Tip Reiman,TE,"ARI
ARI",22,2024,2027,4,"$5,789,912","$1,447,478",0.57%,"$1,030,844","$1,030,844",te
341,42,Tucker Kraft,TE,"GB
GB",22,2023,2026,4,"$5,537,934","$1,384,484",0.62%,"$1,027,588","$1,027,588",te
342,43,Jelani Woods,TE,"IND
IND",23,2022,2025,4,"$5,372,473","$1,343,118",0.65%,"$1,087,252","$1,087,252",te
343,44,Darnell Washington,TE,"PIT
PIT",21,2023,2026,4,"$5,353,909","$1,338,477",0.60%,"$893,752","$893,752",te
344,45,Greg Dulcich,TE,"NYG
NYG",21,2022,2025,4,"$5,259,139","$1,314,785",0.63%,"$1,004,828","$1,004,828",te
345,46,Jeremy Ruckert,TE,"NYJ
NYJ",21,2022,2025,4,"$5,044,908","$1,261,227",0.61%,"$849,024","$849,024",te
346,47,Hunter Long,TE,"LAR
LAR",22,2021,2024,4,"$4,968,706","$1,242,177",0.68%,"$973,604","$973,604",te
347,48,Tommy Tremble,TE,"CAR
CAR",20,2021,2024,4,"$4,926,432","$1,231,608",0.67%,"$942,860","$942,860",te
348,49,Ja'Tavion Sanders,TE,"CAR
CAR",21,2024,2027,4,"$4,894,236","$1,223,559",0.48%,"$874,236","$874,236",te
349,50,Theo Johnson,TE,"NYG
NYG",23,2024,2027,4,"$4,851,436","$1,212,859",0.47%,"$831,436","$831,436",te
350,51,Erick All,TE,"CIN
CIN",23,2024,2027,4,"$4,813,104","$1,203,276",0.47%,"$793,104","$793,104",te
351,52,A.J. Barner,TE,"SEA
SEA",21,2024,2027,4,"$4,775,108","$1,193,777",0.47%,"$755,108","$755,108",te
352,53,Cade Stover,TE,"HOU
HOU",23,2024,2027,4,"$4,758,936","$1,189,734",0.47%,"$738,936","$738,936",te
353,54,Jared Wiley,TE,"KC
KC",23,2024,2027,4,"$4,708,620","$1,177,155",0.46%,"$688,620","$688,620",te
354,55,Cade Otton,TE,"TB
TB",22,2022,2025,4,"$4,493,944","$1,123,486",0.54%,"$833,944","$833,944",te
355,56,Daniel Bellinger,TE,"NYG
NYG",21,2022,2025,4,"$4,453,104","$1,113,276",0.53%,"$793,104","$793,104",te
356,T57,Charlie Kolar,TE,"BAL
BAL",22,2022,2025,4,"$4,364,884","$1,091,221",0.52%,"$704,884","$704,884",te
357,T57,Jake Ferguson,TE,"DAL
DAL",22,2022,2025,4,"$4,364,884","$1,091,221",0.52%,"$704,884","$704,884",te
358,59,Tanner McLachlan,TE,"CIN
CIN",25,2024,2027,4,"$4,203,056","$1,050,764",0.41%,"$183,056","$183,056",te
359,60,John Bates,TE,"WAS
WAS",23,2021,2024,4,"$4,202,416","$1,050,604",0.58%,"$722,416","$722,416",te
360,61,Kylen Granson,TE,"IND
IND",22,2021,2024,4,"$4,186,368","$1,046,592",0.57%,"$706,368","$706,368",te
361,62,Josh Whyle,TE,"TEN
TEN",23,2023,2026,4,"$4,165,372","$1,041,343",0.46%,"$325,372","$325,372",te
362,T63,Isaiah Likely,TE,"BAL
BAL",21,2022,2025,4,"$4,164,340","$1,041,085",0.50%,"$504,340","$504,340",te
363,T63,Chig Okonkwo,TE,"TEN
TEN",22,2022,2025,4,"$4,164,340","$1,041,085",0.50%,"$504,340","$504,340",te
364,65,Will Mallory,TE,"IND
IND",23,2023,2026,4,"$4,130,592","$1,032,648",0.46%,"$290,592","$290,592",te
365,66,Jaheim Bell,TE,"NE
NE",22,2024,2027,4,"$4,126,592","$1,031,648",0.40%,"$106,592","$106,592",te
366,67,Devin Culp,TE,"TB
TB",24,2024,2027,4,"$4,106,184","$1,026,546",0.40%,"$86,184","$86,184",te
367,T68,Payne Durham,TE,"TB
TB",22,2023,2026,4,"$4,084,976","$1,021,244",0.45%,"$244,976","$244,976",te
368,T68,Davis Allen,TE,"LAR
LAR",22,2023,2026,4,"$4,084,976","$1,021,244",0.45%,"$244,976","$244,976",te
369,70,Jordan Akins,TE,"CLE
CLE",30,2023,2024,2,"$3,900,000","$1,950,000",0.87%,"$1,730,000","$1,730,000",te
370,71,Andrew Ogletree,TE,"IND
IND",23,2022,2025,4,"$3,838,188","$959,547",0.46%,"$178,188","$178,188",te
371,72,Luke Farrell,TE,"JAX
JAX",22,2021,2024,4,"$3,838,020","$959,505",0.53%,"$358,020","$358,020",te
372,73,Grant Calcaterra,TE,"PHI
PHI",23,2022,2025,4,"$3,834,144","$958,536",0.46%,"$174,144","$174,144",te
373,74,Connor Heyward,TE,"PIT
PIT",22,2022,2025,4,"$3,815,224","$953,806",0.46%,"$155,224","$155,224",te
374,75,Ko Kieft,TE,"TB
TB",23,2022,2025,4,"$3,792,016","$948,004",0.46%,"$132,016","$132,016",te
375,76,Harrison Bryant,TE,"LV
LV",25,2024,2024,1,"$3,250,000","$3,250,000",1.27%,"$2,878,000","$2,878,000",te
376,77,Pharaoh Brown,TE,"SEA
SEA",29,2024,2024,1,"$3,200,000","$3,200,000",1.25%,"$2,690,000","$2,690,000",te
377,78,Austin Hooper,TE,"NE
NE",29,2024,2024,1,"$3,125,000","$3,125,000",1.22%,"$2,410,000","$2,410,000",te
378,79,Zach Ertz,TE,"WAS
WAS",33,2024,2024,1,"$3,000,000","$3,000,000",1.17%,"$1,960,000","$1,960,000",te
379,80,Brevyn Spann-Ford,TE,"DAL
DAL",24,2024,2026,3,"$2,850,000","$950,000",0.37%,"$245,000","$245,000",te
380,T81,Colson Yankoff,TE,"WAS
WAS",24,2024,2026,3,"$2,840,000","$946,667",0.37%,"$50,000","$50,000",te
381,T81,Dallin Holker,TE,"NO
NO",24,2024,2026,3,"$2,840,000","$946,667",0.37%,"$235,000","$235,000",te
382,83,David Martin-Robinson,TE,"TEN
TEN",24,2024,2026,3,"$2,837,500","$945,833",0.37%,"$17,500","$17,500",te
383,84,Julian Hill,TE,"MIA
MIA",22,2023,2025,3,"$2,707,500","$902,500",0.40%,"$42,500","$42,500",te
384,T85,Ben Sims,TE,"GB
GB",22,2023,2025,3,"$2,705,000","$901,667",0.40%,"$110,000","$110,000",te
385,T85,Nate Adkins,TE,"DEN
DEN",23,2023,2025,3,"$2,705,000","$901,667",0.40%,"$75,000","$75,000",te
386,87,John Stephens,TE,"DAL
DAL",23,2023,2025,3,"$2,698,000","$899,333",0.40%,"$3,000","$3,000",te
387,88,Stone Smartt,TE,"LAC
LAC",23,2022,2024,3,"$2,565,000","$855,000",0.41%,"$5,000","$5,000",te
388,89,Mike Gesicki,TE,"CIN
CIN",28,2024,2024,1,"$2,500,000","$2,500,000",0.98%,"$400,000","$400,000",te
389,90,Brevin Jordan,TE,"HOU
HOU",24,2024,2025,1,"$2,100,000","$2,100,000",0.82%,"$850,000","$850,000",te
390,91,Nikola Kalinic,TE,"ATL
ATL",28,2025,2026,2,"$2,045,000","$1,022,500",0.37%,"$10,000","$10,000",te
391,T92,Johnny Mundt,TE,"MIN
MIN",29,2024,2024,1,"$2,000,000","$2,000,000",0.78%,"$750,000","$750,000",te
392,T92,Marcedes Lewis,TE,"CHI
CHI",40,2024,2024,1,"$2,000,000","$2,000,000",0.78%,"$1,000,000","$1,000,000",te
393,T94,Princeton Fant,TE,"DAL
DAL",24,2024,2025,2,"$1,755,000","$877,500",0.34%,,,te
394,T94,E.J. Jenkins,TE,"PHI
PHI",26,2024,2025,2,"$1,755,000","$877,500",0.34%,,,te
395,T94,Brenden Bates,TE,"CLE
CLE",25,2024,2025,2,"$1,755,000","$877,500",0.34%,,,te
396,T97,Lucas Krull,TE,"DEN
DEN",25,2023,2024,2,"$1,665,000","$832,500",0.37%,,,te
397,T97,Travis Vokolek,TE,"ARI
ARI",25,2023,2024,2,"$1,665,000","$832,500",0.37%,,,te
398,99,Kenny Yeboah,TE,"NYJ
NYJ",25,2024,2024,1,"$1,425,000","$1,425,000",0.56%,"$225,000","$225,000",te
399,100,Chris Manhertz,TE,"NYG
NYG",31,2024,2024,1,"$1,377,500","$1,377,500",0.54%,"$117,500","$117,500",te
399,100,Daniel Jones,QB,"NYG
NYG",31,2023,2024,4,"$160,000,000","$40,000,000",0.54%,"$117,500","$117,500",qb
